guid,titulo,bytes
0ea0c68c-4dc2-4a14-9052-760d18fb3a7c,"Reporte Informativo ASFI al 26/01/2026",164000
dea8f0da-32d1-4172-9571-82a56910794b,"Reporte Informativo ASFI al 22/01/2026",150558
71ed1865-4317-4862-9b43-d095557a6edc,"Reporte Informativo ASFI al 21/01/2026",155968
a39e0ac9-3719-43ec-9739-334095b53c6f,"Reporte Informativo ASFI al 20/01/2026",183086
78ea9313-f63a-4413-a4fd-ed522bbb0e9a,"Reporte Informativo ASFI al 19/01/2026",147279
e6f36b65-7efb-45dc-bf6c-4b299cee5552,"Reporte Informativo ASFI al 16/01/2026",163339
4ae6b0d9-ebf2-4e8f-baba-13b18e3ff884,"Reporte Informativo ASFI al 15/01/2026",220482
1da98e08-b31c-4af2-9a55-54dd1de23d5c,"Reporte Informativo ASFI al 14/01/2026",151172
0591353f-e983-416f-a720-25d629588b9e,"Reporte Informativo ASFI al 13/01/2026",169598
4ba1cedd-4025-43c9-87f2-be2d285a9704,"Reporte Informativo ASFI al 12/01/2026",167614
06fcb5e3-e332-4fcf-a78d-b6c1e9644a50,"Reporte Informativo ASFI al 09/01/2026",192375
5c6ba1b1-679f-40bd-996d-44fa0409cc5b,"Reporte Informativo ASFI al 08/01/2026",138851
3ba80577-c3f3-4fa9-a0cf-6fe84938a24d,"Reporte Informativo ASFI al 07/01/2026",131260
497eaed7-6de0-4ed1-a94e-5c1abe19f707,"Reporte Informativo ASFI al 06/01/2026",148195
c73cbe1e-e573-40bb-8ea8-a8891d665692,"Reporte Informativo ASFI al 05/01/2026",154138
